제목,작가,삽화가,별점,다운로드수,연재일,장르,하트수,이미지주소
날 가져요,로즈빈,쿠낙,9.96,다운로드 292만,"목, 일 연재",로맨스,"9,953",./img_data/날 가져요.jpg
그대를 사랑하지 않기로 했습니다,백묘,MINIM,9.88,다운로드 46만,"월, 목 연재",로맨스,"4,395",./img_data/그대를 사랑하지 않기로 했습니다.jpg
달콤한 보스들,명주 Go,Kymawave,9.89,다운로드 49만,"수, 일 연재",로맨스,"3,683",./img_data/달콤한 보스들.jpg
그 가을 녹아들다,Luna.K,끄미kkmi,9.88,다운로드 67만,"수, 토 연재",로맨스,"4,006",./img_data/그 가을 녹아들다.jpg
상처 봉합하겠습니다,아드리안느,샛다,9.81,다운로드 69만,"목, 토 연재",로맨스,"4,057",./img_data/상처 봉합하겠습니다.jpg
너는 나의 봄이다,정도령,ilssa,9.87,다운로드 15만,"수, 일 연재",로맨스,"2,241",./img_data/너는 나의 봄이다.jpg
구남친이 내게 반했다,강하다,웃는해,9.96,다운로드 331만,"월, 금 연재",로맨스,"16,353",./img_data/구남친이 내게 반했다.jpg
아낌없이 프러포즈,시크크,신료,9.83,다운로드 51만,"화, 토 연재",로맨스,"2,462",./img_data/아낌없이 프러포즈.jpg
사랑을 말할 때,닐라(neila),에시,9.85,다운로드 92만,"목, 일 연재",로맨스,"4,179",./img_data/사랑을 말할 때.jpg
너라는 별,원스토리,이기하,9.9,다운로드 72만,"화, 금 연재",로맨스,"6,081",./img_data/너라는 별.jpg
정성스럽게,하훤,정이나,9.87,다운로드 34만,"화, 금 연재",로맨스,"2,597",./img_data/정성스럽게.jpg
찌라시일보 반기자,쥬블리,kira,9.88,다운로드 30만,"월, 금 연재",로맨스,"2,281",./img_data/찌라시일보 반기자.jpg
아주 달콤한 갈증,서별아,DELTA,9.94,다운로드 50만,"수, 일 연재",로맨스,"4,606",./img_data/아주 달콤한 갈증.jpg
그래 사랑이야,애둘난 김작가,해시,9.9,다운로드 39만,"목, 일 연재",로맨스,"2,820",./img_data/그래 사랑이야.jpg
이불 밖은 위험해,이정운,송백,9.95,다운로드 57만,"화, 금 연재",로맨스,"5,848",./img_data/이불 밖은 위험해.jpg
우리 드라마처럼,엘리즈,B,9.73,다운로드 10만,"수, 토 연재",로맨스,"1,313",./img_data/우리 드라마처럼.jpg
전하와 나,박수정(방울마마),율피,9.95,다운로드 179만,"월, 목 연재",로맨스,"8,192",./img_data/전하와 나.jpg
내 손에 에로스,최온,로헬,9.89,다운로드 164만,"목, 일 연재",로맨스,"10,137",./img_data/내 손에 에로스.jpg
그대 곁에 잠들다,플라비,Rabbit J,9.97,다운로드 160만,"월, 금 연재",로맨스,"8,749",./img_data/그대 곁에 잠들다.jpg
츤데레의 정석,윤 소다,도파민,9.79,다운로드 50만,"월, 금 연재",로맨스,"5,292",./img_data/츤데레의 정석.jpg
줄리엣의 나라,carbo,still,9.91,다운로드 36만,"화, 토 연재",로맨스,"3,002",./img_data/줄리엣의 나라.jpg
당신과 나 사이에 없는 것,아라휘,Aggie.R,9.95,다운로드 419만,"화, 금 연재",로맨스,"16,043",./img_data/당신과 나 사이에 없는 것.jpg
